10.445653200149536s to calculate
0.03365015983581543s to dump
         1087997 function calls (1072484 primitive calls) in 11.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 gridspec.py:32(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:292(PurePath)
       25    0.000    0.000    0.000    0.000 text.py:298(set_rotation_mode)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
       32    0.000    0.000    0.000    0.000 numeric.py:1918(isscalar)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _parser.py:1373(_result)
        1    0.000    0.000    0.000    0.000 figure.py:2146(_set_artist_props)
       32    0.000    0.000    0.000    0.000 {method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects}
        1    0.000    0.000    0.000    0.000 table.py:238(Table)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 platform.py:890(uname)
        1    0.000    0.000    0.000    0.000 gridspec.py:736(__init__)
        1    0.000    0.000    0.000    0.000 cm.py:638(_ensure_cmap)
      103    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       82    0.000    0.000    0.000    0.000 core.py:3992(<genexpr>)
        4    0.000    0.000    0.000    0.000 getlimits.py:592(smallest_normal)
        2    0.000    0.000    0.000    0.000 pyplot.py:1117(get_fignums)
        2    0.000    0.000    0.000    0.000 deprecation.py:142(finalize)
       26    0.000    0.000    0.000    0.000 text.py:1195(set_x)
        2    0.000    0.000    0.000    0.000 core.py:1352(make_mask_descr)
        6    0.000    0.000    0.000    0.000 weakref.py:289(update)
       15    0.000    0.000    0.000    0.000 transforms.py:242(x0)
        1    0.000    0.000    0.000    0.000 _mathtext.py:749(StixFonts)
      156    0.000    0.000    0.000    0.000 core.py:806(postParse)
        3    0.000    0.000    0.000    0.000 six.py:96(__get__)
       44    0.000    0.000    0.000    0.000 unicode.py:17(<genexpr>)
       42    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        2    0.000    0.000    0.000    0.000 rcsetup.py:446(validate_whiskers)
        1    0.000    0.000    0.000    0.000 _linalg.py:59(SVDResult)
       12    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
      113    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.000    0.000 art3d.py:646(Path3DCollection)
       36    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       54    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 <frozen os>:717(__setitem__)
       12    0.000    0.000    0.000    0.000 axis.py:201(_pad)
      113    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        5    0.000    0.000    0.000    0.000 rcsetup.py:237(_validate_pathlike)
       24    0.000    0.000    0.000    0.000 patches.py:2341(<genexpr>)
        1    0.000    0.000    0.000    0.000 cbook.py:35(_get_running_interactive_framework)
        1    0.000    0.000    0.000    0.000 collections.py:1257(RegularPolyCollection)
       78    0.000    0.000    0.000    0.000 _internal.py:900(<genexpr>)
      129    0.000    0.000    0.000    0.000 results.py:26(__getitem__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       18    0.000    0.000    0.000    0.000 lines.py:1261(set_markersize)
        1    0.000    0.000    0.000    0.000 patches.py:980(PathPatch)
        8    0.000    0.000    0.000    0.000 weakref.py:510(update)
        2    0.000    0.000    0.000    0.000 traceback.py:391(extended_frame_gen)
       48    0.000    0.000    0.000    0.000 {method 'issuperset' of 'set' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
       12    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
       47    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 enum.py:1677(global_enum)
        4    0.000    0.000    0.000    0.000 core.py:5252(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 pathlib.py:824(Path)
        7    0.000    0.000    0.000    0.000 patches.py:348(set_antialiased)
       41    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
        1    0.000    0.000    0.000    0.000 quiver.py:235(QuiverKey)
       65    0.000    0.000    0.000    0.000 results.py:266(__bool__)
        1    0.000    0.000    0.000    0.000 gridspec.py:212(__getitem__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 tempfile.py:685(SpooledTemporaryFile)
        3    0.000    0.000    0.000    0.000 rcsetup.py:272(validate_backend)
        1    0.000    0.000    0.000    0.000 collections.py:1723(EllipseCollection)
       10    0.000    0.000    0.000    0.000 enum.py:1394(_iter_member_by_value_)
       26    0.000    0.000    0.000    0.000 text.py:1206(set_y)
       60    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 _linalg.py:47(EighResult)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
       31    0.000    0.000    0.000    0.000 warnings.py:458(__init__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f57cfb02340}
       11    0.000    0.000    0.000    0.000 typing.py:2330(get_origin)
        2    0.000    0.000    0.000    0.000 _ufunc_config.py:410(__enter__)
        2    0.000    0.000    0.000    0.000 core.py:1338(_replace_dtype_fields)
        1    0.000    0.000    0.000    0.000 Image.py:3789(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        1    0.000    0.000    0.000    0.000 cbook.py:120(CallbackRegistry)
       23    0.000    0.000    0.000    0.000 text.py:321(set_antialiased)
        1    0.000    0.000    0.000    0.000 mathtext.py:37(MathTextParser)
       33    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      100    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:874(AnchoredOffsetbox)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        2    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
        1    0.000    0.000    0.000    0.000 pickle.py:401(_Pickler)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
       14    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
        2    0.000    0.000    0.000    0.000 <frozen os>:723(__delitem__)
       44    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       22    0.000    0.000    0.000    0.000 _type_aliases.py:118(<lambda>)
        1    0.000    0.000    0.000    0.000 transforms.py:789(frozen)
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
       23    0.000    0.000    0.000    0.000 text.py:1265(set_text)
        1    0.000    0.000    0.000    0.000 ticker.py:1327(EngFormatter)
        5    0.000    0.000    0.000    0.000 core.py:6034(token_map)
        1    0.000    0.000    0.000    0.000 dviread.py:789(PsfontsMap)
        1    0.000    0.000    0.000    0.000 gridspec.py:26(GridSpecBase)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:819(keys)
        1    0.000    0.000    0.000    0.000 figure.py:3133(clear)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:966(clear)
        7    0.000    0.000    0.000    0.000 legend_handler.py:171(__init__)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        1    0.000    0.000    0.000    0.000 _linalg.py:55(SlogdetResult)
        1    0.000    0.000    0.000    0.000 _linalg.py:51(QRResult)
       15    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       18    0.000    0.000    0.000    0.000 lines.py:1046(set_antialiased)
       54    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 __init__.py:56(__init_subclass__)
        8    0.000    0.000    0.000    0.000 rrule.py:77(<genexpr>)
        2    0.000    0.000    0.000    0.000 traceback.py:327(walk_stack)
        4    0.000    0.000    0.000    0.000 legend_handler.py:214(__init__)
      134    0.000    0.000    0.000    0.000 six.py:93(__init__)
       18    0.000    0.000    0.000    0.000 lines.py:1105(set_gapcolor)
        1    0.000    0.000    0.000    0.000 testing.py:126(TestParseResultsAsserts)
       46    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       55    0.000    0.000    0.000    0.000 colors.py:411(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1059(_scandir)
        1    0.000    0.000    0.000    0.000 collections.py:1891(TriMesh)
        1    0.000    0.000    0.000    0.000 figure.py:3233(add_axobserver)
        5    0.000    0.000    0.000    0.000 functools.py:841(_is_union_type)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:911(__iter__)
        6    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       17    0.000    0.000    0.000    0.000 enum.py:1188(_generate_next_value_)
        6    0.000    0.000    0.000    0.000 patches.py:520(set_joinstyle)
        1    0.000    0.000    0.000    0.000 core.py:121(__diag__)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
       69    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
        1    0.000    0.000    0.000    0.000 polar.py:814(PolarAxes)
       26    0.000    0.000    0.000    0.000 cbook.py:106(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
       91    0.000    0.000    0.000    0.000 __init__.py:109(<lambda>)
        6    0.000    0.000    0.000    0.000 functools.py:845(_is_valid_dispatch_type)
       25    0.000    0.000    0.000    0.000 getlimits.py:712(max)
       18    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:549(<genexpr>)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
        1    0.000    0.000    0.000    0.000 core.py:5822(__init__)
        7    0.000    0.000    0.000    0.000 core.py:2568(_arraymethod)
        6    0.000    0.000    0.000    0.000 rcsetup.py:185(_make_type_validator)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1066(poly1d)
        2    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 numbers.py:319(Integral)
      110    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
        1    0.000    0.000    0.000    0.000 art3d.py:183(Line3D)
        2    0.000    0.000    0.000    0.000 pyplot.py:1080(gcf)
       13    0.000    0.000    0.000    0.000 mixins.py:38(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 uuid.py:85(UUID)
        1    0.000    0.000    0.000    0.000 backend_bases.py:130(RendererBase)
        1    0.000    0.000    0.000    0.000 tz.py:132(tzoffset)
       12    0.000    0.000    0.000    0.000 cbook.py:2356(_is_torch_array)
        1    0.000    0.000    0.000    0.000 unicode.py:31(unicode_set)
        1    0.000    0.000    0.000    0.000 core.py:3647(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 _common.py:21(package_to_anchor)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1487(IPv4Network)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        1    0.000    0.000    0.000    0.000 axis.py:2334(XAxis)
       40    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       30    0.000    0.000    0.000    0.000 core.py:696(<genexpr>)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       46    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        2    0.000    0.000    0.000    0.000 scale.py:707(scale_factory)
        1    0.000    0.000    0.000    0.000 _internal.py:251(_missing_ctypes)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        2    0.000    0.000    0.000    0.000 transforms.py:2200(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       18    0.000    0.000    0.000    0.000 lines.py:550(set_markevery)
        1    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
       14    0.000    0.000    0.000    0.000 mixins.py:28(_reflected_binary_method)
        3    0.000    0.000    0.000    0.000 legend_handler.py:433(__init__)
       25    0.000    0.000    0.000    0.000 getlimits.py:699(min)
        1    0.000    0.000    0.000    0.000 pathlib.py:57(_is_case_sensitive)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__call__)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:845(__init__)
        4    0.000    0.000    0.000    0.000 deprecation.py:353(<genexpr>)
        1    0.000    0.000    0.000    0.000 _base.py:1764(set_box_aspect)
        1    0.000    0.000    0.000    0.000 core.py:4790(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
        1    0.000    0.000    0.000    0.000 dviread.py:991(_LuatexKpsewhich)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
        1    0.000    0.000    0.000    0.000 transforms.py:1695(TransformWrapper)
       57    0.000    0.000    0.000    0.000 __init__.py:265(<genexpr>)
        1    0.000    0.000    0.000    0.000 figure.py:1640(sca)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       10    0.000    0.000    0.000    0.000 axis.py:2304(_make_getset_interval)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 widgets.py:3123(RectangleSelector)
       27    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       70    0.000    0.000    0.000    0.000 axis.py:337(<genexpr>)
        1    0.000    0.000    0.000    0.000 art3d.py:76(Text3D)
        1    0.000    0.000    0.000    0.000 rcsetup.py:281(_validate_toolbar)
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:12(SecondaryAxis)
        5    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       23    0.000    0.000    0.000    0.000 text.py:1339(set_parse_math)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
        2    0.000    0.000    0.000    0.000 six.py:194(find_spec)
       74    0.000    0.000    0.000    0.000 util.py:203(no_escape_re_range_char)
        1    0.000    0.000    0.000    0.000 figure.py:907(clear)
       18    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:94(_localized_month)
       17    0.000    0.000    0.000    0.000 inspect.py:2845(__hash__)
        1    0.000    0.000    0.000    0.000 artist.py:1017(_set_alpha_for_array)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:311(_validate_color_or_linecolor)
        1    0.000    0.000    0.000    0.000 Image.py:3830(Exif)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       16    0.000    0.000    0.000    0.000 typing.py:962(__hash__)
        1    0.000    0.000    0.000    0.000 widgets.py:2446(SpanSelector)
       15    0.000    0.000    0.000    0.000 artist.py:449(get_transform)
       37    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
        1    0.000    0.000    0.000    0.000 _mathtext.py:434(BakomaFonts)
        1    0.000    0.000    0.000    0.000 transforms.py:800(null)
       25    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
        5    0.000    0.000    0.000    0.000 typing.py:1433(__mro_entries__)
       15    0.000    0.000    0.000    0.000 transforms.py:252(y0)
        4    0.000    0.000    0.000    0.000 colors.py:204(_sanitize_extrema)
        2    0.000    0.000    0.000    0.000 artist.py:1090(set_label)
        3    0.000    0.000    0.000    0.000 core.py:4967(_generateDefaultName)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        6    0.000    0.000    0.000    0.000 inspect.py:1457(formatannotation)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:29(ImagePalette)
       12    0.000    0.000    0.000    0.000 enum.py:816(__iter__)
       33    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _pylab_helpers.py:9(Gcf)
       33    0.000    0.000    0.000    0.000 core.py:4570(recurse)
        4    0.000    0.000    0.000    0.000 core.py:5109(_generateDefaultName)
        4    0.000    0.000    0.000    0.000 spines.py:208(register_axis)
       20    0.000    0.000    0.000    0.000 inspect.py:3103(<genexpr>)
        2    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 pyplot.py:1156(close)
       17    0.000    0.000    0.000    0.000 results.py:269(__iter__)
       14    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.000    0.000 textpath.py:26(__init__)
       11    0.000    0.000    0.000    0.000 typing.py:1088(<genexpr>)
        1    0.000    0.000    0.000    0.000 figure.py:2153(SubFigure)
        1    0.000    0.000    0.000    0.000 transforms.py:1165(LockableBbox)
        1    0.000    0.000    0.000    0.000 widgets.py:2090(_SelectorWidget)
        1    0.000    0.000    0.000    0.000 _expired_attrs_2_0.py:1(<module>)
        6    0.000    0.000    0.000    0.000 six.py:131(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:677(Colormap)
       36    0.000    0.000    0.000    0.000 <frozen _collections_abc>:341(__subclasshook__)
        1    0.000    0.000    0.000    0.000 font_manager.py:656(__eq__)
        2    0.000    0.000    0.000    0.000 core.py:3510(_generateDefaultName)
        3    0.000    0.000    0.000    0.000 registry.py:208(is_valid_backend)
        6    0.000    0.000    0.000    0.000 cbook.py:1758(safe_isfinite)
       38    0.000    0.000    0.000    0.000 typing.py:2806(<genexpr>)
       49    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        1    0.000    0.000    0.000    0.000 core.py:5263(SkipTo)
       46    0.000    0.000    0.000    0.000 core.py:4282(<genexpr>)
        1    0.000    0.000    0.000    0.000 _array_utils_impl.py:1(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       39    0.000    0.000    0.000    0.000 core.py:4052(<genexpr>)
        1    0.000    0.000    0.000    0.000 transforms.py:235(frozen)
       19    0.000    0.000    0.000    0.000 typing.py:2866(_namedtuple_mro_entries)
       34    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 transforms.py:2652(__init__)
       10    0.000    0.000    0.000    0.000 core.py:3668(parseImpl)
        1    0.000    0.000    0.000    0.000 getlimits.py:32(MachArLike)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 pyplot.py:554(draw_if_interactive)
        1    0.000    0.000    0.000    0.000 cbook.py:2120(add)
       12    0.000    0.000    0.000    0.000 axis.py:220(get_tick_padding)
        4    0.000    0.000    0.000    0.000 typing.py:2305(_strip_annotations)
        1    0.000    0.000    0.000    0.000 ast.py:78(_convert_signed_num)
        1    0.000    0.000    0.000    0.000 core.py:3553(mask)
        1    0.000    0.000    0.000    0.000 _tight_layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functools.py:861(<lambda>)
        4    0.000    0.000    0.000    0.000 rcsetup.py:246(validate_fonttype)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:309(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _base.py:1700(set_adjustable)
        1    0.000    0.000    0.000    0.000 collections.py:1520(EventCollection)
        1    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
       28    0.000    0.000    0.000    0.000 spines.py:558(__getattr__)
        1    0.000    0.000    0.000    0.000 legend_handler.py:633(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1867(__init__)
        5    0.000    0.000    0.000    0.000 <frozen os>:853(fsdecode)
        1    0.000    0.000    0.000    0.000 _triangulation.py:8(Triangulation)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3476(_Backend)
        1    0.000    0.000    0.000    0.000 colors.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 ticker.py:2711(LogitLocator)
        1    0.000    0.000    0.000    0.000 ticker.py:397(ScalarFormatter)
       77    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        1    0.000    0.000    0.000    0.000 socket.py:215(socket)
        1    0.000    0.000    0.000    0.000 widgets.py:3726(PolygonSelector)
       35    0.000    0.000    0.000    0.000 multiarray.py:1089(copyto)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        2    0.000    0.000    0.000    0.000 transforms.py:986(intervalx)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:649(RcParams)
       29    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 abc.py:16(ResourceReader)
        1    0.000    0.000    0.000    0.000 calendar.py:113(_localized_day)
        1    0.000    0.000    0.000    0.000 colors.py:1229(Normalize)
        2    0.000    0.000    0.000    0.000 tokenize.py:376(read_or_stop)
        1    0.000    0.000    0.000    0.000 registry.py:15(BackendRegistry)
        4    0.000    0.000    0.000    0.000 numerictypes.py:233(obj2sctype)
        2    0.000    0.000    0.000    0.000 axis.py:772(get_transform)
       33    0.000    0.000    0.000    0.000 version.py:454(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 backend_managers.py:32(ToolManager)
       45    0.000    0.000    0.000    0.000 core.py:4283(<genexpr>)
       56    0.000    0.000    0.000    0.000 pathlib.py:176(_select_from)
        1    0.000    0.000    0.000    0.000 plistlib.py:173(_PlistParser)
        1    0.000    0.000    0.000    0.000 _base.py:2211(_sci)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1276(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:16(Arrayterator)
        7    0.000    0.000    0.000    0.000 rrule.py:70(__init__)
        1    0.000    0.000    0.000    0.000 _afm.py:358(AFM)
       14    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1332(__init__)
       68    0.000    0.000    0.000    0.000 inspect.py:3083(return_annotation)
       37    0.000    0.000    0.000    0.000 transforms.py:1049(get_points)
        1    0.000    0.000    0.000    0.000 util.py:102(__init__)
       25    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
        2    0.000    0.000    0.000    0.000 figure.py:102(current)
        8    0.000    0.000    0.000    0.000 weakref.py:417(__len__)
       78    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        1    0.000    0.000    0.000    0.000 axis.py:2572(YAxis)
        1    0.000    0.000    0.000    0.000 collections.py:1333(LineCollection)
       12    0.000    0.000    0.000    0.000 legend_handler.py:62(__init__)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        2    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 core.py:2720(Word)
        6    0.000    0.000    0.000    0.000 hatch.py:182(_validate_hatch_pattern)
       12    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       24    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
        2    0.000    0.000    0.000    0.000 tokenize.py:382(find_cookie)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1285(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
        1    0.000    0.000    0.000    0.000 backend_tools.py:73(ToolBase)
        1    0.000    0.000    0.000    0.000 colors.py:1555(CenteredNorm)
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 font_manager.py:539(FontProperties)
        1    0.000    0.000    0.000    0.000 core.py:3150(QuotedString)
        1    0.000    0.000    0.000    0.000 widgets.py:1277(TextBox)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1349(_get_parent_path)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:323(AxisConcatenator)
       23    0.000    0.000    0.000    0.000 overrides.py:173(array_function_from_dispatcher)
        1    0.000    0.000    0.000    0.000 core.py:5079(ZeroOrMore)
        1    0.000    0.000    0.000    0.000 image.py:756(set_interpolation)
        1    0.000    0.000    0.000    0.000 pyplot.py:439(backend_mod)
        1    0.000    0.000    0.000    0.000 __init__.py:442(LibraryLoader)
        1    0.000    0.000    0.000    0.000 __init__.py:1482(Logger)
       30    0.000    0.000    0.000    0.000 results.py:260(__contains__)
        1    0.000    0.000    0.000    0.000 Image.py:3680(register_extensions)
        1    0.000    0.000    0.000    0.000 figure.py:1692(_process_projection_requirements)
       24    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(__iter__)
        1    0.000    0.000    0.000    0.000 tz.py:1545(__init__)
       13    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
        1    0.000    0.000    0.000    0.000 artist.py:88(_finalize_rasterization)
       47    0.000    0.000    0.000    0.000 pathlib.py:560(root)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
        1    0.000    0.000    0.000    0.000 platform.py:843(uname_result)
        2    0.000    0.000    0.000    0.000 core.py:1306(_replace_dtype_fields_recursive)
       32    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
       33    0.000    0.000    0.000    0.000 fromnumeric.py:3263(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 transforms.py:1894(Affine2D)
        8    0.000    0.000    0.000    0.000 core.py:4987(stopOn)
       21    0.000    0.000    0.000    0.000 core.py:3804(recurse)
        3    0.000    0.000    0.000    0.000 __init__.py:167(check_getitem)
        1    0.000    0.000    0.000    0.000 mathtext.py:48(__init__)
       33    0.000    0.000    0.000    0.000 results.py:23(__init__)
        3    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
       10    0.000    0.000    0.000    0.000 enum.py:828(__members__)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:288(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:74(_convert_num)
       32    0.000    0.000    0.000    0.000 function_base.py:20(_linspace_dispatcher)
        2    0.000    0.000    0.000    0.000 weakref.py:68(__call__)
       23    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 _structures.py:6(InfinityType)
        4    0.000    0.000    0.000    0.000 text.py:1150(set_fontweight)
        6    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
       18    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:553(<genexpr>)
        1    0.000    0.000    0.000    0.000 _deprecate.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:99(get_active)
       34    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2570(FigureManagerBase)
        2    0.000    0.000    0.000    0.000 transforms.py:991(intervaly)
        1    0.000    0.000    0.000    0.000 parse.py:152(_NetlocResultMixinBase)
        4    0.000    0.000    0.000    0.000 spines.py:565(__getitem__)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
