10.445653200149536s to calculate
0.03365015983581543s to dump
         1087997 function calls (1072484 primitive calls) in 11.320 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 common.py:8(pyparsing_common)
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
        1    0.000    0.000    0.009    0.009 scale.py:1(<module>)
     8834    0.009    0.000    0.009    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.009    0.009 category.py:1(<module>)
       18    0.000    0.000    0.009    0.000 rcsetup.py:827(validate_cycler)
        2    0.000    0.000    0.008    0.004 axis.py:870(clear)
        1    0.000    0.000    0.008    0.008 __init__.py:323(__getattr__)
      934    0.006    0.000    0.008    0.000 inspect.py:3019(__init__)
       48    0.000    0.000    0.008    0.000 __init__.py:1355(_add_data_doc)
      299    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        8    0.000    0.000    0.008    0.001 axis.py:970(set_tick_params)
        1    0.000    0.000    0.008    0.008 shape_base.py:1(<module>)
        3    0.000    0.000    0.008    0.003 patches.py:2283(__init_subclass__)
        6    0.000    0.000    0.008    0.001 patches.py:2325(pprint_styles)
      336    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
       12    0.000    0.000    0.008    0.001 core.py:1134(parse_string)
        2    0.000    0.000    0.008    0.004 axis.py:780(_set_scale)
        2    0.000    0.000    0.008    0.004 scale.py:103(set_default_locators_and_formatters)
        2    0.000    0.000    0.007    0.004 _base.py:3229(grid)
        4    0.000    0.000    0.007    0.002 axis.py:1702(grid)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
     1343    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       13    0.000    0.000    0.007    0.001 rcsetup.py:426(validate_font_properties)
        6    0.000    0.000    0.007    0.001 axis.py:59(__init__)
       10    0.000    0.000    0.007    0.001 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
      279    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
      258    0.001    0.000    0.007    0.000 typing.py:1260(__init__)
      322    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        2    0.000    0.000    0.007    0.004 ticker.py:447(__init__)
       58    0.003    0.000    0.007    0.000 {built-in method builtins.eval}
        2    0.000    0.000    0.007    0.004 ticker.py:559(set_useMathText)
   106/94    0.000    0.000    0.007    0.000 typing.py:515(__getitem__)
    34838    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.007    0.001 __init__.py:73(import_module)
        1    0.000    0.000    0.007    0.007 _parser.py:1(<module>)
        8    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
     1355    0.007    0.000    0.007    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.007    0.003 font_manager.py:1238(findfont)
        1    0.000    0.000    0.007    0.007 fromnumeric.py:1(<module>)
      262    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
       94    0.001    0.000    0.007    0.000 typing.py:694(Union)
        1    0.002    0.002    0.007    0.007 font_manager.py:1398(_findfont_cached)
      435    0.004    0.000    0.006    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.006    0.006 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
        1    0.000    0.000    0.006    0.006 ticker.py:1(<module>)
        1    0.000    0.000    0.006    0.006 table.py:1(<module>)
      558    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
   306/12    0.001    0.000    0.006    0.001 core.py:810(_parseNoCache)
     6625    0.003    0.000    0.006    0.000 enum.py:726(__call__)
    72/12    0.000    0.000    0.006    0.001 core.py:4055(parseImpl)
     3042    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.006    0.006 mathtext.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _secondary_axes.py:1(<module>)
     7190    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
       10    0.000    0.000    0.006    0.001 util.py:251(_inner)
       40    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
       10    0.000    0.000    0.005    0.001 core.py:5705(__init__)
      700    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.005    0.003 version.py:1(<module>)
        1    0.000    0.000    0.005    0.005 legend.py:1(<module>)
     30/9    0.000    0.000    0.005    0.001 core.py:4587(leave_whitespace)
      279    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
     2019    0.001    0.000    0.005    0.000 <frozen abc>:117(__instancecheck__)
       19    0.001    0.000    0.005    0.000 typing.py:2800(__new__)
        3    0.000    0.000    0.005    0.002 axis.py:394(__init__)
      461    0.001    0.000    0.005    0.000 core.py:521(copy)
      8/2    0.000    0.000    0.005    0.002 deprecation.py:292(wrapper)
        2    0.000    0.000    0.005    0.002 axis.py:1134(set_clip_path)
        3    0.000    0.000    0.005    0.002 exceptions.py:1(<module>)
      596    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      635    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
      577    0.001    0.000    0.005    0.000 copy.py:61(copy)
     7527    0.003    0.000    0.005    0.000 _parser.py:168(__getitem__)
        3    0.000    0.000    0.005    0.002 axis.py:455(__init__)
        1    0.000    0.000    0.005    0.005 _methods.py:1(<module>)
      111    0.001    0.000    0.005    0.000 rcsetup.py:99(f)
     2019    0.001    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
      317    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:1(<module>)
      537    0.002    0.000    0.004    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.004    0.004 font_manager.py:1570(_load_fontmanager)
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
       38    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      567    0.002    0.000    0.004    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.004    0.004 font_manager.py:975(json_load)
     2679    0.002    0.000    0.004    0.000 cbook.py:405(_strip_comment)
       32    0.000    0.000    0.004    0.000 colors.py:1049(from_list)
        1    0.000    0.000    0.004    0.004 __init__.py:274(load)
       38    0.003    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
       19    0.000    0.000    0.004    0.000 typing.py:2781(_make_nmtuple)
       22    0.000    0.000    0.004    0.000 core.py:4993(parseImpl)
     62/9    0.000    0.000    0.004    0.000 core.py:3812(leave_whitespace)
      209    0.001    0.000    0.004    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.004    0.004 __init__.py:32(__enter__)
        7    0.001    0.000    0.004    0.001 enum.py:919(_convert_)
 1763/229    0.001    0.000    0.004    0.000 <frozen abc>:121(__subclasscheck__)
   133/64    0.000    0.000    0.004    0.000 core.py:3904(copy)
        1    0.000    0.000    0.004    0.004 __init__.py:1470(inner)
       64    0.000    0.000    0.004    0.000 util.py:240(replaced_by_pep8)
        1    0.000    0.000    0.004    0.004 __init__.py:299(loads)
        1    0.000    0.000    0.004    0.004 spines.py:1(<module>)
        1    0.000    0.000    0.004    0.004 decoder.py:332(decode)
        1    0.001    0.001    0.004    0.004 decoder.py:343(raw_decode)
        1    0.000    0.000    0.004    0.004 _tricontour.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _axes.py:5676(imshow)
 1763/229    0.002    0.000    0.004    0.000 {built-in method _abc._abc_subclasscheck}
    45/12    0.000    0.000    0.004    0.000 typing.py:1285(__getitem__)
      149    0.001    0.000    0.004    0.000 artist.py:1173(_update_props)
        1    0.000    0.000    0.004    0.004 version.py:161(Version)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
    31088    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
      241    0.000    0.000    0.004    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
        1    0.000    0.000    0.004    0.004 subprocess.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
        7    0.000    0.000    0.004    0.001 core.py:2787(__init__)
        1    0.000    0.000    0.004    0.004 texmanager.py:1(<module>)
    12468    0.003    0.000    0.004    0.000 {method 'get' of 'dict' objects}
      227    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      635    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
       24    0.001    0.000    0.003    0.000 util.py:186(_collapse_string_to_ranges)
       18    0.001    0.000    0.003    0.000 lines.py:287(__init__)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
     1734    0.002    0.000    0.003    0.000 typing.py:1206(__setattr__)
       18    0.000    0.000    0.003    0.000 rcsetup.py:690(cycler)
     4336    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.003    0.002 __init__.py:12(__getattr__)
        1    0.000    0.000    0.003    0.003 core.py:393(ParserElement)
      109    0.000    0.000    0.003    0.000 artist.py:147(<lambda>)
      313    0.001    0.000    0.003    0.000 function_base.py:502(add_newdoc)
    38/18    0.000    0.000    0.003    0.000 core.py:4573(parseImpl)
        1    0.000    0.000    0.003    0.003 __init__.py:244(_check_versions)
        1    0.000    0.000    0.003    0.003 pyplot.py:870(figure)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
      351    0.001    0.000    0.003    0.000 inspect.py:795(_finddoc)
      130    0.000    0.000    0.003    0.000 artist.py:1209(_internal_update)
      107    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
      109    0.000    0.000    0.003    0.000 artist.py:1220(set)
       71    0.001    0.000    0.003    0.000 deprecation.py:260(rename_parameter)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pyplot.py:547(new_figure_manager)
        1    0.000    0.000    0.003    0.003 _npyio_impl.py:1(<module>)
      424    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
     5112    0.002    0.000    0.003    0.000 _parser.py:261(get)
    26/14    0.000    0.000    0.003    0.000 core.py:4303(parseImpl)
      418    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.003    0.003 axes3d.py:40(Axes3D)
       19    0.000    0.000    0.003    0.000 text.py:104(__init__)
      457    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
 1241/408    0.002    0.000    0.003    0.000 _parser.py:178(getwidth)
      425    0.001    0.000    0.003    0.000 font_manager.py:934(_json_decode)
       20    0.000    0.000    0.003    0.000 core.py:5103(parseImpl)
      598    0.000    0.000    0.003    0.000 __init__.py:164(match)
      782    0.002    0.000    0.003    0.000 inspect.py:748(unwrap)
        2    0.000    0.000    0.003    0.001 dataclasses.py:1264(wrap)
        2    0.000    0.000    0.003    0.001 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.003    0.003 plistlib.py:1(<module>)
      635    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
     5651    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
     9994    0.003    0.000    0.003    0.000 {method 'pop' of 'list' objects}
       58    0.000    0.000    0.003    0.000 core.py:3086(parseImpl)
      143    0.002    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
    45/12    0.000    0.000    0.002    0.000 typing.py:1317(_determine_new_args)
      503    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
      635    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    45/12    0.000    0.000    0.002    0.000 typing.py:1346(_make_substitution)
        1    0.000    0.000    0.002    0.002 backend_tools.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      317    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       39    0.000    0.000    0.002    0.000 typing.py:521(__getitem__)
       66    0.000    0.000    0.002    0.000 core.py:1416(__add__)
        1    0.000    0.000    0.002    0.002 cbook.py:1(<module>)
      258    0.000    0.000    0.002    0.000 typing.py:1165(__init__)
      558    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.002    0.001 core.py:5997(srange)
       39    0.000    0.000    0.002    0.000 typing.py:753(Literal)
     1679    0.001    0.000    0.002    0.000 __init__.py:745(__getitem__)
        1    0.000    0.000    0.002    0.002 _afm.py:1(<module>)
      705    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
     12/6    0.000    0.000    0.002    0.000 functools.py:979(__get__)
        1    0.000    0.000    0.002    0.002 ExifTags.py:21(Base)
      263    0.001    0.000    0.002    0.000 typing.py:262(_collect_parameters)
     2071    0.001    0.000    0.002    0.000 typing.py:1152(_is_dunder)
      823    0.000    0.000    0.002    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.002    0.000 core.py:3074(re_match)
        6    0.000    0.000    0.002    0.000 core.py:3064(re)
        8    0.001    0.000    0.002    0.000 enum.py:1708(convert_class)
       15    0.000    0.000    0.002    0.000 artist.py:769(set_clip_path)
       44    0.000    0.000    0.002    0.000 deprecation.py:131(deprecate)
     5931    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
  280/180    0.000    0.000    0.002    0.000 core.py:1914(name)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
      487    0.001    0.000    0.002    0.000 copy.py:247(_reconstruct)
        1    0.000    0.000    0.002    0.002 pyplot.py:524(_warn_if_gui_out_of_main_thread)
        3    0.000    0.000    0.002    0.001 pyplot.py:348(_get_backend_mod)
      2/1    0.000    0.000    0.002    0.002 pyplot.py:362(switch_backend)
     6622    0.002    0.000    0.002    0.000 enum.py:1129(__new__)
      412    0.000    0.000    0.002    0.000 typing.py:730(<genexpr>)
       23    0.000    0.000    0.002    0.000 text.py:157(_reset_visual_defaults)
  210/117    0.000    0.000    0.002    0.000 core.py:1877(default_name)
     8878    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      336    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
     78/4    0.000    0.000    0.002    0.000 core.py:961(_parseCache)
      663    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       67    0.000    0.000    0.002    0.000 core.py:3970(__init__)
        1    0.000    0.000    0.002    0.002 _typing.py:1(<module>)
       67    0.002    0.000    0.002    0.000 colors.py:1102(reversed)
       12    0.000    0.000    0.002    0.000 dataclasses.py:449(_create_fn)
      443    0.000    0.000    0.002    0.000 __init__.py:179(sub)
      320    0.001    0.000    0.002    0.000 font_manager.py:1120(score_family)
   256/18    0.000    0.000    0.002    0.000 ast.py:403(visit)
        3    0.000    0.000    0.002    0.001 _common.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       14    0.000    0.000    0.002    0.000 core.py:113(doc_note)
   256/18    0.001    0.000    0.002    0.000 ast.py:409(generic_visit)
        1    0.000    0.000    0.002    0.002 image.py:717(set_data)
     22/3    0.000    0.000    0.002    0.001 core.py:4005(streamline)
        1    0.000    0.000    0.002    0.002 tz.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
        1    0.000    0.000    0.002    0.002 image.py:684(_normalize_image_array)
        1    0.001    0.001    0.002    0.002 cbook.py:732(safe_masked_invalid)
1484/1314    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      317    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 helpers.py:603(make_html_tags)
        1    0.000    0.000    0.002    0.002 helpers.py:545(_makeTags)
     30/4    0.000    0.000    0.002    0.000 core.py:3852(streamline)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
       32    0.000    0.000    0.002    0.000 colors.py:416(to_rgba_array)
       44    0.000    0.000    0.002    0.000 _base.py:67(__set_name__)
       22    0.000    0.000    0.002    0.000 core.py:5236(parseImpl)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
     2661    0.001    0.000    0.002    0.000 _parser.py:176(append)
     6512    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
      351    0.001    0.000    0.002    0.000 inspect.py:785(_findclass)
       85    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      182    0.000    0.000    0.002    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.002    0.002 registry.py:308(load_backend_module)
     6205    0.002    0.000    0.002    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
     5486    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
      279    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      654    0.001    0.000    0.002    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        6    0.000    0.000    0.002    0.000 axis.py:234(set_clip_path)
       15    0.000    0.000    0.002    0.000 patches.py:306(get_transform)
     10/3    0.000    0.000    0.001    0.000 unicode.py:14(__get__)
      690    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        1    0.000    0.000    0.001    0.001 format.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _text_helpers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
       86    0.000    0.000    0.001    0.000 core.py:3778(__init__)
     3035    0.001    0.000    0.001    0.000 inspect.py:3066(<genexpr>)
